StudentID,FullName,Data Structure Marks,Algorithm Marks,Python Marks,CompletionStatus,EnrollmentDate,Instructor,Location
PH1082,Kalinda Sarkar,81.4,81.1,80.5,Completed,2024-09-23,Ms. Salma,Sylhet
PH1083,Omar Bhuiyan,89.6,92.6,85.7,In Progress,2024-07-11,Ms. Rina,Sylhet
PH1084,Sufia Hawlader,75.9,71.4,88.7,Completed,2025-06-11,Ms. Salma,Rangpur
PH1085,Laila Talukder,87.6,92.9,98.3,Completed,2025-12-16,Mr. Karim,Sylhet
PH1086,Masud Biswas,96.0,65.5,69.9,Completed,2025-02-28,Ms. Salma,Chattogram
PH1087,Kamrul Khatun,93.0,93.2,80.3,In Progress,2025-06-20,Mr. David,Mymensingh
PH1088,Tahmina Hossain,96.9,90.2,81.7,In Progress,2024-10-03,Mr. Karim,Chattogram
PH1089,Ismail Sheikh,92.1,75.0,77.7,Completed,2024-12-10,Mr. Haque,Rangpur
PH1090,Rubel Chowdhury,,,,In Progress,2024-03-06,Mr. Haque,Rajshahi
PH1091,Bristy Sharma,87.7,95.6,80.8,Completed,2024-04-15,Mr. Haque,Sylhet
PH1092,Priya Barua,,,,In Progress,2024-06-19,Mr. David,Mymensingh
PH1093,Khalid Ahmed,78.0,77.2,75.1,Completed,2025-07-28,Mr. Karim,Rangpur
PH1094,Sharmin Rahman,,,,Not Started,2024-10-28,Ms. Rina,Khulna
PH1095,Samira Khan,71.5,73.5,90.7,Completed,2024-10-26,Ms. Salma,Chattogram
PH1096,Zobair Hossain,77.4,69.5,95.9,Completed,2025-05-26,Ms. Rina,Sylhet
PH1097,Taslima Faruq,94.7,95.5,96.1,In Progress,2024-09-12,Mr. David,Barishal
PH1098,Wahiduzzaman Majumder,,,,In Progress,2024-02-05,Mr. Haque,Barishal
PH1099,Sadia Paul,87.9,87.9,84.9,Completed,2024-01-09,Mr. David,Chattogram
PH1100,Firoz Khan,,,,Not Started,2024-08-01,Ms. Salma,Chattogram
